Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/04  08:00:00,1.895662697,0.904860453,0,0.871780277,0,0.022427021,0.022427021,0.022427021,0.301621517,0.064977292,0.207405929,0.480263352,0.787323586
 01/04  09:00:00,1.825138368,0.875937211,0,0.847969832,0,0.02182574,0.02182574,0.02182574,0.288786568,0.062212303,0.268690649,0.406034923,0.760944184
 01/04  10:00:00,1.575865907,0.937459284,0,0.913656784,0,0.023573991,0.023573991,0.023573991,0.147602041,0.031797395,0.330033496,0.345568553,0.680646431
 01/04  11:00:00,1.476569944,1.089407384,0,1.065045088,0,0.027567367,0.027567367,0.027567367,0.121932142,0.026267417,0.34487662,0.353695754,0.585586645
 01/04  12:00:00,1.400426267,0.795671858,0,0.771302098,0,0.019971537,0.019971537,0.019971537,0.121932142,0.026267417,0.361119726,0.353804116,0.500687329
 01/04  13:00:00,1.312391103,0.540625558,0,0.516666315,0,0.013387352,0.013387352,0.013387352,0.121932142,0.026267417,0.351845974,0.347844169,0.434470048
 01/04  14:00:00,1.244878235,0.299722697,0,0.274934956,0,0.0071332,0.0071332,0.0071332,0.121932142,0.026267417,0.317847783,0.359872426,0.395181267
 01/04  15:00:00,1.202671915,0.069268741,0,0.043085244,0,0.00111876,0.00111876,0.00111876,0.128349577,0.027649903,0.292642171,0.380136245,0.356131259
 01/04  16:00:00,1.276749054,0.027638965,0,0,0,0,0,0,0.160436991,0.034562383,0.302863616,0.401266965,0.360975099
 01/04  17:00:00,1.580617711,0.032692052,0,0,0,0,0,0,0.269534103,0.058064812,0.353720743,0.474628493,0.408025559
 01/04  18:00:00,2.155208426,0.039715618,0,0,0,0,0,0,0.500563357,0.107834641,0.445069937,0.576597765,0.508498725
 01/04  19:00:00,2.577110862,0.043119174,0,0,0,0,0,0,0.744427561,0.160369476,0.398283704,0.626011142,0.601374979
 01/04  20:00:00,2.553886776,0.044507467,0,0,0,0,0,0,0.789349925,0.170046944,0.315345897,0.646166599,0.616333411
 01/04  21:00:00,2.348737522,0.046037574,0,0,0,0,0,0,0.680252812,0.146544516,0.275874928,0.668380946,0.56104032
 01/04  22:00:00,2.115774734,0.044962767,0,0,0,0,0,0,0.5711557,0.123042104,0.258342283,0.652776722,0.493813925
 01/04  23:00:00,1.696756124,0.038909513,0,0,0,0,0,0,0.429971094,0.092627195,0.205880856,0.564894597,0.386738382
 01/04  24:00:00,1.27311895,0.033811642,0,0,0,0,0,0,0.295204003,0.063594789,0.135920782,0.490882893,0.270872483
 01/05  01:00:00,0.844486848,0.027967378,0,0,0,0,0,0,0.154019476,0.033179897,0.086369242,0.406034923,0.14823931
 01/05  02:00:00,0.664292843,0.025750589,0,0,0,0,0,0,0.089844728,0.019354937,0.072238755,0.37385121,0.092359213
 01/05  03:00:00,0.601100283,0.025452031,0,0,0,0,0,0,0.064174796,0.013824955,0.059715255,0.369516703,0.077224573
 01/05  04:00:00,0.593334234,0.025093762,0,0,0,0,0,0,0.064174796,0.013824955,0.052611026,0.364315295,0.081764161
 01/05  05:00:00,0.649517206,0.579912935,0,0.555767093,0,0.014484703,0.014484703,0.014484703,0.064174796,0.013824955,0.063151709,0.350553236,0.126683807
 01/05  06:00:00,0.903107551,0.747997495,0,0.721052677,0,0.018766676,0.018766676,0.018766676,0.064174796,0.013824955,0.075981488,0.391189237,0.322526399
 01/05  07:00:00,1.491560444,1.020781928,0,0.989649839,0,0.025698395,0.025698395,0.025698395,0.147602041,0.031797395,0.129758031,0.451980695,0.688079888
